countInDegree Node Time
countInDegree 5481 703
countInDegree 28284 683
countInDegree 7746 732
countInDegree 7974 649
countInDegree 23322 715
countInDegree 27561 744
countInDegree 15609 720
countInDegree 15702 658
countInDegree 12102 627
countInDegree 9510 615
countInDegree 29490 800
countInDegree 6996 761
countInDegree 5619 590
countInDegree 7443 605
countInDegree 16635 614
countInDegree 570 600
countInDegree 12720 679
countInDegree 16551 630
countInDegree 8481 592
countInDegree 10053 700
countInDegree 28812 599
countInDegree 9189 616
countInDegree 13425 614
countInDegree 1710 589
countInDegree 4677 694
countInDegree 5001 588
countInDegree 13518 685
countInDegree 14913 714
countInDegree 5577 623
countInDegree 11919 600
countInDegree 2631 688
countInDegree 18861 604
countInDegree 1503 622
countInDegree 26271 696
countInDegree 18747 681
countInDegree 3264 608
countInDegree 3009 587
countInDegree 8388 606
countInDegree 8847 615
countInDegree 19941 612
countInDegree 13170 640
countInDegree 17820 743
countInDegree 29886 607
countInDegree 10368 584
countInDegree 1704 590
countInDegree 9876 588
countInDegree 26610 631
countInDegree 27336 735
countInDegree 23541 624
countInDegree 25779 598
countInDegree 19740 756
countInDegree 17337 723
countInDegree 24978 714
countInDegree 3276 589
countInDegree 13959 636
countInDegree 10812 606
countInDegree 11028 583
countInDegree 6459 852
countInDegree 9789 805
countInDegree 25983 795
countInDegree 17790 908
countInDegree 21714 846
countInDegree 1671 814
countInDegree 26331 854
countInDegree 25167 605
countInDegree 4896 615
countInDegree 25389 673
countInDegree 18858 597
countInDegree 408 625
countInDegree 17514 606
countInDegree 7587 624
countInDegree 28620 595
countInDegree 3156 614
countInDegree 10827 596
countInDegree 12648 606
countInDegree 27252 613
countInDegree 9441 609
countInDegree 13116 605
countInDegree 29400 669
countInDegree 13209 615
countInDegree 13899 612
countInDegree 8412 605
countInDegree 19080 597
countInDegree 24633 594
countInDegree 7230 606
countInDegree 20952 602
countInDegree 26952 619
countInDegree 3447 615
countInDegree 13212 651
countInDegree 20388 652
countInDegree 2802 616
countInDegree 6027 615
