
countInDegree Node Time
countOutDegree 15 9
countOutDegree 24 7
countOutDegree 21 6
countOutDegree 6 5
countOutDegree 27 9
countOutDegree 6 10
countOutDegree 3 6
countOutDegree 18 9
countOutDegree 21 7
countOutDegree 24 10
countOutDegree 15 10
countOutDegree 21 10
countOutDegree 27 9
countOutDegree 24 11
countOutDegree 15 10
countOutDegree 12 10
countOutDegree 12 10
countOutDegree 6 9
countOutDegree 6 10
countOutDegree 24 12
countOutDegree 27 10
countOutDegree 27 10
countOutDegree 21 12
countOutDegree 15 9
countOutDegree 24 10
countOutDegree 24 15
countOutDegree 3 9
countOutDegree 9 11
countOutDegree 18 10
countOutDegree 24 10
countOutDegree 0 10
countOutDegree 21 10
countOutDegree 15 11
countOutDegree 9 10
countOutDegree 6 9
countOutDegree 15 11
countOutDegree 9 9
countOutDegree 6 11
countOutDegree 0 10
countOutDegree 27 9
countOutDegree 15 11
countOutDegree 18 11
countOutDegree 12 12
countOutDegree 6 10
countOutDegree 27 10
countOutDegree 12 11
countOutDegree 27 21
countOutDegree 27 10
countOutDegree 27 10
countOutDegree 27 10
countOutDegree 24 10
countOutDegree 21 12
countOutDegree 9 11
countOutDegree 9 9
countOutDegree 3 9
countOutDegree 15 12
countOutDegree 6 9
countOutDegree 12 9
countOutDegree 9 9
countOutDegree 21 10
countOutDegree 3 9
countOutDegree 12 10
countOutDegree 27 10
countOutDegree 6 11
countOutDegree 18 9
countOutDegree 15 10
countOutDegree 24 10
countOutDegree 9 9
countOutDegree 18 10
countOutDegree 12 12
countOutDegree 15 11
countOutDegree 21 9
countOutDegree 12 9
countOutDegree 9 12
countOutDegree 18 10
countOutDegree 21 10
countOutDegree 3 11
countOutDegree 0 9
countOutDegree 6 10
countOutDegree 24 9
countOutDegree 3 10
countOutDegree 15 7
countOutDegree 27 9
countOutDegree 24 9
countOutDegree 27 8
countOutDegree 3 10
countOutDegree 15 8
countOutDegree 12 10
countOutDegree 3 9
countOutDegree 27 6
countOutDegree 6 9
countOutDegree 12 10
countOutDegree 15 9
countOutDegree 9 8
countOutDegree 3 9
countOutDegree 27 10
countOutDegree 18 9
countOutDegree 27 8
countOutDegree 21 6
countOutDegree 6 7
countOutDegree 12 9
