countInDegree Node Time 
countInDegree 1449 1
countInDegree 22206 0
countInDegree 10590 0
countInDegree 16017 1
countInDegree 3000 0
countInDegree 5319 1
countInDegree 3933 0
countInDegree 25815 1
countInDegree 18888 0
countInDegree 9039 1
countInDegree 141 0
countInDegree 19842 1
countInDegree 6741 0
countInDegree 5670 1
countInDegree 29340 0
countInDegree 22152 1
countInDegree 3972 0
countInDegree 16845 1
countInDegree 27705 0
countInDegree 25260 1
countInDegree 10596 0
countInDegree 29052 1
countInDegree 23298 0
countInDegree 24330 0
countInDegree 15807 1
countInDegree 12360 0
countInDegree 4206 1
countInDegree 15972 0
countInDegree 24588 1
countInDegree 1884 0
countInDegree 26181 1
countInDegree 17991 0
countInDegree 2937 0
countInDegree 7017 0
countInDegree 3093 0
countInDegree 7170 1
countInDegree 7401 0
countInDegree 21519 0
countInDegree 9663 0
countInDegree 18936 1
countInDegree 15363 0
countInDegree 20409 0
countInDegree 828 0
countInDegree 23223 0
countInDegree 1752 0
countInDegree 10884 1
countInDegree 11595 0
countInDegree 1971 1
countInDegree 7404 0
countInDegree 20346 1
countInDegree 27378 0
countInDegree 2583 0
countInDegree 23946 0
countInDegree 387 0
countInDegree 24009 1
countInDegree 7674 0
countInDegree 24219 1
countInDegree 24231 0
countInDegree 24417 1
countInDegree 12348 0
countInDegree 9093 0
countInDegree 17601 0
countInDegree 13248 0
countInDegree 28533 0
countInDegree 27096 0
countInDegree 20811 1
countInDegree 6324 0
countInDegree 27036 0
countInDegree 10851 0
countInDegree 26229 0
countInDegree 27810 0
countInDegree 22671 0
countInDegree 12063 0
countInDegree 28701 0
countInDegree 1815 0
countInDegree 26685 0
countInDegree 15897 0
countInDegree 6678 1
countInDegree 26700 0
countInDegree 24447 1
countInDegree 28881 0
countInDegree 25668 0
countInDegree 6702 0
countInDegree 4206 0
countInDegree 28170 0
countInDegree 12363 0
countInDegree 23103 0
countInDegree 28617 0
countInDegree 17523 0
countInDegree 19302 0
countInDegree 9486 1
countInDegree 2574 0
countInDegree 16743 0
countInDegree 13536 0
countInDegree 14001 0
countInDegree 3453 1
countInDegree 8085 0
countInDegree 24387 0
countInDegree 4311 1
countInDegree 15195 0
countInDegree 15477 0
countInDegree 6885 0
countInDegree 21231 0
countInDegree 26622 1
countInDegree 1173 0
countInDegree 19146 1
countInDegree 26205 0
countInDegree 28659 1
countInDegree 19422 0
countInDegree 27426 1
countInDegree 21873 0
countInDegree 699 1
countInDegree 450 1
countInDegree 12810 0
countInDegree 20364 1
countInDegree 14781 0
countInDegree 21309 0
countInDegree 5478 0
countInDegree 28362 1
countInDegree 13011 0
countInDegree 10470 1
countInDegree 29073 0
countInDegree 24708 1
countInDegree 18051 0
countInDegree 20766 1
countInDegree 20559 0
countInDegree 8241 1
countInDegree 19611 1
countInDegree 1113 0
countInDegree 23130 0
countInDegree 17850 0
countInDegree 25848 0
countInDegree 9771 0
countInDegree 18075 0
countInDegree 4962 0
countInDegree 270 1
countInDegree 9537 0
countInDegree 8454 0
countInDegree 25578 0
countInDegree 8754 0
countInDegree 3318 0
countInDegree 9255 0
countInDegree 18243 1
countInDegree 16179 0
countInDegree 2952 1
countInDegree 28485 1
countInDegree 3816 0
countInDegree 25347 1
countInDegree 2757 0
countInDegree 14922 1
countInDegree 27708 0
countInDegree 27684 0
countInDegree 17085 0
countInDegree 6327 0
countInDegree 27036 1
countInDegree 14298 0
countInDegree 27942 1
countInDegree 22941 0
countInDegree 25116 0
countInDegree 3192 0
countInDegree 15072 0
countInDegree 26220 1
countInDegree 9846 0
countInDegree 20802 1
countInDegree 5793 0
countInDegree 28515 1
countInDegree 8778 0
countInDegree 28107 1
countInDegree 25554 0
countInDegree 22182 1
countInDegree 6567 0
countInDegree 24297 1
countInDegree 22125 0
countInDegree 11985 0
countInDegree 25758 0
countInDegree 27078 0
countInDegree 16959 0
countInDegree 6516 0
countInDegree 11310 0
countInDegree 7641 1
countInDegree 15192 0
countInDegree 11670 0
countInDegree 13614 0
countInDegree 10104 0
countInDegree 12180 1
countInDegree 13998 0
countInDegree 6309 1
countInDegree 14076 0
countInDegree 20763 0
countInDegree 26067 1
countInDegree 3726 0
countInDegree 25542 1
countInDegree 3609 0
countInDegree 3621 1
countInDegree 8826 0
countInDegree 14322 0
countInDegree 28656 0
countInDegree 12582 0
countInDegree 13437 1
countInDegree 4545 0
countInDegree 5793 1
countInDegree 23373 0
countInDegree 15171 0
countInDegree 26436 0
countInDegree 25215 0
countInDegree 17673 1
countInDegree 5118 0
countInDegree 25146 0
countInDegree 22998 1
countInDegree 14013 0
countInDegree 27831 1
countInDegree 27390 0
countInDegree 69 0
countInDegree 4614 0
countInDegree 19260 0
countInDegree 14523 1
countInDegree 18330 0
countInDegree 21912 1
countInDegree 3531 0
countInDegree 26805 1
countInDegree 11001 0
countInDegree 22179 1
countInDegree 1059 0
countInDegree 27870 1
countInDegree 14445 0
countInDegree 12564 0
countInDegree 23970 0
countInDegree 4980 0
countInDegree 23226 1
countInDegree 27558 0
countInDegree 2349 0
countInDegree 14268 0
