delete Node Time 
delete 27867 131
delete 21162 122
delete 3585 131
delete 4752 123
delete 11682 131
delete 16701 111
delete 27099 119
delete 26262 154
delete 10044 195
delete 5619 148
delete 15369 101
delete 27618 119
delete 19974 112
delete 3759 120
delete 10743 179
delete 20112 118
delete 27081 124
delete 29157 163
delete 22416 114
delete 3726 130
delete 16908 113
delete 27270 219
delete 20289 155
delete 11832 124
delete 12846 184
delete 26418 235
delete 1917 209
delete 17679 289
delete 8607 131
delete 2022 113
delete 24009 141
delete 19752 113
delete 21198 141
delete 9768 113
delete 2910 140
delete 3243 165
delete 9807 282
delete 12198 242
delete 21579 153
delete 1356 118
delete 990 155
delete 12306 166
delete 27417 115
delete 24210 252
delete 19968 131
delete 13968 114
delete 8664 95
delete 168 115
delete 2118 179
delete 21942 216
delete 22599 125
delete 20544 117
delete 8697 126
delete 7167 106
delete 27810 114
delete 5775 140
delete 2838 261
delete 24426 120
delete 14793 183
delete 18774 138
delete 12621 162
delete 11049 159
delete 13821 167
delete 16278 116
delete 375 314
delete 23106 116
delete 5019 115
delete 27333 172
delete 297 115
delete 5244 165
delete 11883 117
delete 10914 115
delete 24534 117
delete 4299 125
delete 29877 117
delete 7902 126
delete 27858 177
delete 11205 156
delete 4083 144
delete 24945 154
delete 618 173
delete 29991 115
delete 16971 117
delete 21777 115
delete 26334 166
delete 20454 105
delete 26346 164
delete 19839 136
delete 22458 117
delete 15525 126
delete 243 116
delete 6183 117
delete 1440 126
delete 11562 155
delete 7332 128
delete 18252 126
delete 18009 117
delete 5757 116
delete 16293 127
delete 12069 399
delete 8532 89
delete 16761 138
delete 2046 177
delete 3972 117
delete 801 145
delete 5490 126
delete 21501 118
delete 8484 188
delete 19005 162
delete 20346 115
delete 3570 126
delete 28878 127
delete 12348 161
delete 18312 238
delete 25011 193
delete 15744 171
delete 10485 117
delete 24747 176
delete 3339 215
delete 22848 215
delete 26385 173
delete 26784 181
delete 19299 116
delete 25809 128
delete 15252 116
delete 28506 166
delete 11208 308
delete 411 117
delete 19659 115
delete 2946 139
delete 63 77
delete 23097 114
delete 10287 117
delete 11739 115
delete 2052 118
delete 3597 322
delete 3651 237
delete 4584 244
delete 12528 210
delete 18951 429
delete 9084 211
delete 10410 223
delete 7923 114
delete 11133 128
delete 20466 116
delete 29022 217
delete 14919 154
delete 5496 115
delete 15600 116
delete 25644 115
delete 5229 195
delete 1074 115
delete 8673 298
delete 15807 232
delete 24252 117
delete 26928 115
delete 21330 127
delete 14682 126
delete 19887 130
delete 7725 188
delete 336 113
delete 25992 120
delete 19212 113
delete 4629 131
delete 6309 123
delete 22686 119
delete 29433 123
delete 18036 77
delete 1173 118
delete 6219 166
delete 22644 155
delete 9318 157
delete 25470 118
delete 19527 113
delete 27339 130
delete 20892 111
delete 13629 120
delete 21648 266
delete 16854 112
delete 6333 120
delete 12735 155
delete 17334 143
delete 126 75
delete 7161 101
delete 19122 98
delete 17013 132
delete 16230 100
delete 15543 109
delete 23478 245
delete 18819 98
delete 5547 100
delete 8364 201
delete 6513 178
delete 20190 120
delete 9576 133
delete 22872 277
delete 7956 133
delete 7815 131
delete 14697 98
delete 22521 270
delete 17862 106
delete 23352 132
delete 612 110
delete 1569 121
delete 12324 112
delete 2919 120
delete 10833 188
delete 23973 149
delete 27051 266
delete 23382 195
