insert Node PortIn PortOut Time
insert 39771 39771_IN 39771_OUT 212
insert 33150 33150_IN 33150_OUT 116
insert 49548 49548_IN 49548_OUT 116
insert 32358 32358_IN 32358_OUT 216
insert 49458 49458_IN 49458_OUT 116
insert 52713 52713_IN 52713_OUT 116
insert 43161 43161_IN 43161_OUT 120
insert 39459 39459_IN 39459_OUT 164
insert 39270 39270_IN 39270_OUT 104
insert 44952 44952_IN 44952_OUT 220
insert 47472 47472_IN 47472_OUT 188
insert 48540 48540_IN 48540_OUT 112
insert 51375 51375_IN 51375_OUT 120
insert 50841 50841_IN 50841_OUT 116
insert 43785 43785_IN 43785_OUT 156
insert 35346 35346_IN 35346_OUT 104
insert 54864 54864_IN 54864_OUT 116
insert 34350 34350_IN 34350_OUT 184
insert 39408 39408_IN 39408_OUT 116
insert 56652 56652_IN 56652_OUT 116
insert 52704 52704_IN 52704_OUT 112
insert 55482 55482_IN 55482_OUT 120
insert 52068 52068_IN 52068_OUT 148
insert 39651 39651_IN 39651_OUT 112
insert 46140 46140_IN 46140_OUT 120
insert 39555 39555_IN 39555_OUT 112
insert 51351 51351_IN 51351_OUT 136
insert 53592 53592_IN 53592_OUT 180
insert 48519 48519_IN 48519_OUT 332
insert 34233 34233_IN 34233_OUT 168
insert 31905 31905_IN 31905_OUT 116
insert 50991 50991_IN 50991_OUT 116
insert 52209 52209_IN 52209_OUT 128
insert 58944 58944_IN 58944_OUT 116
insert 44559 44559_IN 44559_OUT 116
insert 36615 36615_IN 36615_OUT 161
insert 59103 59103_IN 59103_OUT 172
insert 57339 57339_IN 57339_OUT 136
insert 30339 30339_IN 30339_OUT 115
insert 35373 35373_IN 35373_OUT 116
insert 51702 51702_IN 51702_OUT 116
insert 50874 50874_IN 50874_OUT 116
insert 35712 35712_IN 35712_OUT 324
insert 36738 36738_IN 36738_OUT 116
insert 45663 45663_IN 45663_OUT 120
insert 56610 56610_IN 56610_OUT 184
insert 58989 58989_IN 58989_OUT 116
insert 31221 31221_IN 31221_OUT 120
insert 52050 52050_IN 52050_OUT 112
insert 31182 31182_IN 31182_OUT 280
insert 56238 56238_IN 56238_OUT 116
